Cruise,SampID,Name,impute_conc_nM
G3_DepthProfiles,190715_Smp_KM1906U13_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906U13_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G4_DepthProfiles,240801_Blk_TN397_S4_500m_Blk,(3-Carboxypropyl)trimethylammonium,1.1506133044209316e-4
G4_DepthProfiles,240801_Blk_TN397_S4_200m_Blk,(3-Carboxypropyl)trimethylammonium,1.1506133044209316e-4
G4_DepthProfiles,240801_Smp_TN397_S1_DCM_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S1_DCM_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S1_DCM_C,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S4_15m_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S4_15m_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S4_45m_A,(3-Carboxypropyl)trimethylammonium,4.002133232768458e-5
G4_DepthProfiles,240801_Smp_TN397_S4_45m_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S4_200m_A,(3-Carboxypropyl)trimethylammonium,2.707325422166898e-5
G4_DepthProfiles,240801_Smp_TN397_S4_200m_B,(3-Carboxypropyl)trimethylammonium,2.556918454268737e-5
G4_DepthProfiles,240801_Smp_TN397_S4_500m_A,(3-Carboxypropyl)trimethylammonium,1.2784592271343685e-5
G4_DepthProfiles,240801_Smp_TN397_S4_1000m_A,(3-Carboxypropyl)trimethylammonium,1.2784592271343685e-5
G4_DepthProfiles,240801_Smp_TN397_S4_DCM_A,(3-Carboxypropyl)trimethylammonium,4.3832887787464064e-5
G4_DepthProfiles,240801_Smp_TN397_S4_DCM_B,(3-Carboxypropyl)trimethylammonium,5.414650844333796e-5
G4_DepthProfiles,240801_Smp_TN397_S4_DCM+50_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S4_DCM+50_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S6_DCM_A,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S6_DCM_B,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S6_DCM_C,(3-Carboxypropyl)trimethylammonium,4.6024532176837264e-5
G4_DepthProfiles,240801_Smp_TN397_S7_15m_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_15m_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_30m_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_30m_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_200m_A,(3-Carboxypropyl)trimethylammonium,2.556918454268737e-5
G4_DepthProfiles,240801_Smp_TN397_S7_200m_B,(3-Carboxypropyl)trimethylammonium,2.876533261052329e-5
G4_DepthProfiles,240801_Smp_TN397_S7_500m_B,(3-Carboxypropyl)trimethylammonium,1.353662711083449e-5
G4_DepthProfiles,240801_Smp_TN397_S7_1000m_B,(3-Carboxypropyl)trimethylammonium,1.314986633623922e-5
G4_DepthProfiles,240801_Smp_TN397_S7_DCM_A,(3-Carboxypropyl)trimethylammonium,3.900384082782819e-5
G4_DepthProfiles,240801_Smp_TN397_S7_DCM_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_DCM+50_A,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S7_DCM+50_B,(3-Carboxypropyl)trimethylammonium,3.835377681403106e-5
G4_DepthProfiles,240801_Smp_TN397_S9_15m_A,(3-Carboxypropyl)trimethylammonium,4.184048379712479e-5
