cruise_comp,Name,SampID,Area,IS,IS.area,Cruise,match.name,IS.Conc.uM,umol.in.vial.ave,Vol_L
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU3_A,11342873600,"Glycine betaine, 13C5, 15N",2224085248,KM1906,Glycine betaine,1,5.100017461201199,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU3_B,16468124672,"Glycine betaine, 13C5, 15N",2196007168,KM1906,Glycine betaine,1,7.499121547493965,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU3_C,13420465152,"Glycine betaine, 13C5, 15N",2189898752,KM1906,Glycine betaine,1,6.128349605087131,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU4_A,14934703104,"Glycine betaine, 13C5, 15N",2340559616,KM1906,Glycine betaine,1,6.3808257657300365,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU4_B,21957277696,"Glycine betaine, 13C5, 15N",2477527040,KM1906,Glycine betaine,1,8.862578426591057,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU4_C,20190099456,"Glycine betaine, 13C5, 15N",2295067136,KM1906,Glycine betaine,1,8.79717161180247,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU5_A,8271060992,"Glycine betaine, 13C5, 15N",2112169088,KM1906,Glycine betaine,1,3.915908550594222,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU5_B,13448435712,"Glycine betaine, 13C5, 15N",2462539776,KM1906,Glycine betaine,1,5.461205476991248,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU5_C,9540590592,"Glycine betaine, 13C5, 15N",2119098880,KM1906,Glycine betaine,1,4.502192267686914,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU6_A,11297738752,"Glycine betaine, 13C5, 15N",2560409856,KM1906,Glycine betaine,1,4.412472763110626,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU6_B,12376278016,"Glycine betaine, 13C5, 15N",2025430272,KM1906,Glycine betaine,1,6.110443883007195,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU6_C,10698601472,"Glycine betaine, 13C5, 15N",2852122880,KM1906,Glycine betaine,1,3.751101169946787,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU7_A,10216701952,"Glycine betaine, 13C5, 15N",2416912640,KM1906,Glycine betaine,1,4.227170557558919,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU7_B,12050989056,"Glycine betaine, 13C5, 15N",2619734272,KM1906,Glycine betaine,1,4.600080697039489,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU7_C,11231893504,"Glycine betaine, 13C5, 15N",2100583552,KM1906,Glycine betaine,1,5.347034871955429,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU8_A,8672490496,"Glycine betaine, 13C5, 15N",2319022080,KM1906,Glycine betaine,1,3.7397188111292152,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU8_B,11206047744,"Glycine betaine, 13C5, 15N",2533298432,KM1906,Glycine betaine,1,4.4235008408200045,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU8_C,9325960192,"Glycine betaine, 13C5, 15N",2884502528,KM1906,Glycine betaine,1,3.2331260248422287,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU9_A,16374980608,"Glycine betaine, 13C5, 15N",2143926016,KM1906,Glycine betaine,1,7.637847801553988,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU9_B,17915527168,"Glycine betaine, 13C5, 15N",1860480000,KM1906,Glycine betaine,1,9.629518816649467,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU9_C,19988983808,"Glycine betaine, 13C5, 15N",2508202240,KM1906,Glycine betaine,1,7.969446597735277,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU10_A,17768073216,"Glycine betaine, 13C5, 15N",2677359872,KM1906,Glycine betaine,1,6.6364157474008785,10
