SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,detected,impute.conc.nM
170706_Smp_S6E37D15_A,Dimethylsulfoniopropionate,34.35759011963694,2.748607209570955,13.743036047854776,NA,2.748607209570955,Yes,0
170706_Smp_S6E37D15_B,Dimethylsulfoniopropionate,20.48267453212208,1.6386139625697662,8.193069812848831,NA,1.6386139625697662,Yes,0
170706_Smp_S6E37D15_C,Dimethylsulfoniopropionate,7.3311787978985805,0.5864943038318864,2.932471519159432,NA,0.5864943038318864,Yes,0
170706_Smp_S6E37D15_Ds,Dimethylsulfoniopropionate,0.47921893103279506,0.0451029582148513,0.2255147910742565,NA,0.0451029582148513,Yes,0
170706_Smp_S3E15D15_A,Ectoine,0.05548476290735397,0.00443878103258831,0.0266326861955299,0.00887756206517663,NA,Yes,0
170706_Smp_S3E15D15_B,Ectoine,0.04368092726976543,0.00349447418158123,0.0209668450894874,0.00698894836316246,NA,Yes,0
170706_Smp_S3E15D15_C,Ectoine,0.06011844166596165,0.00480947533327693,0.02885685199966159,0.00961895066655386,NA,Yes,0
170706_Smp_S3E15E15_Ds,Ectoine,0.0330802172880903,0.00264641738304722,0.01587850429828334,0.00529283476609444,NA,Yes,0
170706_Smp_S4E16D15_A,Ectoine,0.04536023756501198,0.00362881900520095,0.02177291403120574,0.00725763801040191,NA,Yes,0
170706_Smp_S4E16D15_B,Ectoine,0.06499504750699972,0.00519960380055997,0.03119762280335986,0.01039920760111995,NA,Yes,0
170706_Smp_S4E16D15_C,Ectoine,0.04735168590886884,0.0037881348727095,0.02272880923625704,0.00757626974541901,NA,Yes,0
170706_Smp_S4E16D15_Ds,Ectoine,0.0725602636738534,0.00580482109390827,0.03482892656344964,0.01160964218781654,NA,Yes,0
170706_Smp_S5E28D15_A,Ectoine,0.04085061640777824,0.00326804931262225,0.01960829587573355,0.00653609862524451,NA,Yes,0
170706_Smp_S5E28D15_B,Ectoine,0.04146002377342654,0.00331680190187412,0.01990081141124473,0.00663360380374824,NA,Yes,0
170706_Smp_S5E28D15_C,Ectoine,0.071994187644297,0.00575953501154376,0.03455721006926256,0.01151907002308752,NA,Yes,0
170706_Smp_S5E28D15_Ds,Ectoine,0.01337617975133187,0.00112641513695426,0.00675849082172557,0.00225283027390852,NA,Yes,0
170706_Smp_S6E37D15_A,Ectoine,0.1164015764729424,0.00931212611783539,0.05587275670701235,0.01862425223567078,NA,Yes,0
170706_Smp_S6E37D15_B,Ectoine,0.05930831889553027,0.00474466551164242,0.02846799306985452,0.00948933102328484,NA,Yes,0
170706_Smp_S6E37D15_C,Ectoine,0.06880364884921812,0.00550429190793744,0.03302575144762469,0.01100858381587489,NA,Yes,0
170706_Smp_S6E37D15_Ds,Ectoine,0.01918557193398313,0.00180570088790429,0.01083420532742576,0.00361140177580858,NA,Yes,0
170706_Smp_S3E15D15_A,Glycine betaine,5.026681163381696,0.4021344930705356,2.010672465352678,0.4021344930705356,NA,Yes,0
170706_Smp_S3E15D15_B,Glycine betaine,2.4921020141690944,0.19936816113352757,0.996840805667638,0.19936816113352757,NA,Yes,0
170706_Smp_S3E15D15_C,Glycine betaine,3.7369595965511926,0.29895676772409535,1.4947838386204768,0.29895676772409535,NA,Yes,0
170706_Smp_S3E15E15_Ds,Glycine betaine,0.9870992693047302,0.0789679415443784,0.394839707721892,0.0789679415443784,NA,Yes,0
170706_Smp_S4E16D15_A,Glycine betaine,2.845412135488193,0.22763297083905543,1.1381648541952771,0.22763297083905543,NA,Yes,0
170706_Smp_S4E16D15_B,Glycine betaine,4.13186023503094,0.33054881880247516,1.652744094012376,0.33054881880247516,NA,Yes,0
170706_Smp_S4E16D15_C,Glycine betaine,2.8017389921058617,0.2241391193684689,1.1206955968423444,0.2241391193684689,NA,Yes,0
170706_Smp_S4E16D15_Ds,Glycine betaine,1.3377753733390083,0.10702202986712069,0.5351101493356034,0.10702202986712069,NA,Yes,0
170706_Smp_S5E28D15_A,Glycine betaine,4.089312911199232,0.32714503289593855,1.6357251644796929,0.32714503289593855,NA,Yes,0
170706_Smp_S5E28D15_B,Glycine betaine,4.198447864730599,0.3358758291784479,1.6793791458922394,0.3358758291784479,NA,Yes,0
170706_Smp_S5E28D15_C,Glycine betaine,5.695014498571383,0.4556011598857106,2.278005799428553,0.4556011598857106,NA,Yes,0
170706_Smp_S5E28D15_Ds,Glycine betaine,2.745521863514422,0.23120184113805656,1.1560092056902829,0.23120184113805656,NA,Yes,0
170706_Smp_S6E37D15_A,Glycine betaine,23.68451846995327,1.8947614775962616,9.473807387981308,1.8947614775962616,NA,Yes,0
170706_Smp_S6E37D15_B,Glycine betaine,20.427040446512574,1.6341632357210063,8.170816178605032,1.6341632357210063,NA,Yes,0
170706_Smp_S6E37D15_C,Glycine betaine,19.95377510252153,1.596302008201722,7.98151004100861,1.596302008201722,NA,Yes,0
170706_Smp_S6E37D15_Ds,Glycine betaine,4.494040841239251,0.4229685497636942,2.114842748818471,0.4229685497636942,NA,Yes,0
170706_Smp_S3E15D15_A,Gonyol,4.424038048630759,0.35392304389046075,2.4774613072332254,NA,0.35392304389046075,Yes,0
170706_Smp_S3E15D15_B,Gonyol,1.6606194704678952,0.1328495576374316,0.9299469034620214,NA,0.1328495576374316,Yes,0
170706_Smp_S3E15D15_C,Gonyol,2.885618943524239,0.2308495154819391,1.6159466083735738,NA,0.2308495154819391,Yes,0
170706_Smp_S3E15E15_Ds,Gonyol,0.33876065127223254,0.02710085210177859,0.1897059647124502,NA,0.02710085210177859,Yes,0
170706_Smp_S4E16D15_A,Gonyol,3.0248943761368263,0.24199155009094608,1.6939408506366225,NA,0.24199155009094608,Yes,0
170706_Smp_S4E16D15_B,Gonyol,4.80327721425151,0.3842621771401208,2.689835239980846,NA,0.3842621771401208,Yes,0
170706_Smp_S4E16D15_C,Gonyol,4.028965085763963,0.32231720686111703,2.256220448027819,NA,0.32231720686111703,Yes,0
170706_Smp_S4E16D15_Ds,Gonyol,0.4230506915670018,0.03384405532536014,0.23690838727752095,NA,0.03384405532536014,Yes,0
170706_Smp_S5E28D15_A,Gonyol,1.183482836843425,0.094678626947474,0.6627503886323179,NA,0.094678626947474,Yes,0
170706_Smp_S5E28D15_B,Gonyol,1.4044277987231502,0.112354223897852,0.786479567284964,NA,0.112354223897852,Yes,0
170706_Smp_S5E28D15_C,Gonyol,0.9336710496495968,0.07469368397196774,0.5228557878037742,NA,0.07469368397196774,Yes,0
