Rep,Compound,Area,Batch
170706_Poo_TruePoo_Full3,L-Threonine,1420644,G2
170706_Poo_TruePoo_Full4,L-Threonine,1467159,G2
170706_Poo_TruePoo_Full5,L-Threonine,1794443,G2
170706_Poo_TruePoo_Full6,L-Threonine,1971508,G2
170706_Poo_TruePoo_Full7,L-Threonine,1929051,G2
170706_Poo_TruePoo_Half1,L-Threonine,2790676,G2
170706_Poo_TruePoo_Half2,L-Threonine,1419381,G2
170706_Poo_TruePoo_Half3,L-Threonine,1458429,G2
170706_Poo_TruePoo_Half4,L-Threonine,1495253,G2
170706_Poo_TruePoo_Half5,L-Threonine,1821940,G2
170706_Poo_TruePoo_Half6,L-Threonine,2217871,G2
170706_Poo_TruePoo_Half7,L-Threonine,1855888,G2
170706_Smp_S3E15D15_A,L-Threonine,373004,G2
170706_Smp_S3E15D15_B,L-Threonine,338620,G2
170706_Smp_S3E15D15_C,L-Threonine,128183,G2
170706_Smp_S3E15E15_Ds,L-Threonine,121098,G2
170706_Smp_S4E16D15_A,L-Threonine,350935,G2
170706_Smp_S4E16D15_B,L-Threonine,454583,G2
170706_Smp_S4E16D15_C,L-Threonine,292450,G2
170706_Smp_S4E16D15_Ds,L-Threonine,107011,G2
170706_Smp_S5E28D15_A,L-Threonine,867616,G2
170706_Smp_S5E28D15_B,L-Threonine,1147111,G2
170706_Smp_S5E28D15_C,L-Threonine,2831374,G2
170706_Smp_S5E28D15_Ds,L-Threonine,240313,G2
170706_Smp_S6E37D15_A,L-Threonine,5573827,G2
170706_Smp_S6E37D15_B,L-Threonine,5878986,G2
170706_Smp_S6E37D15_C,L-Threonine,9143502,G2
170706_Smp_S6E37D15_Ds,L-Threonine,509216,G2
170706_Std_4uM-StdsInH2O_1,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInH2O_2,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInH2O_3,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInH2O_4,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInH2O_5,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInH2O_6,Dimethylsulfonioacetate,NA,G2
170706_Std_4uM-StdsInAqMatrix_1,Dimethylsulfonioacetate,1381203072,G2
170706_Std_4uM-StdsInAqMatrix_2,Dimethylsulfonioacetate,1114525184,G2
170706_Std_4uM-StdsInAqMatrix_3,Dimethylsulfonioacetate,1146678272,G2
170706_Std_4uM-StdsInAqMatrix_4,Dimethylsulfonioacetate,752691200,G2
170706_Std_4uM-StdsInAqMatrix_5,Dimethylsulfonioacetate,398572480,G2
170706_Blk_Blk0p2_1,Dimethylsulfonioacetate,1558965,G2
170706_Blk_Blk0p2_2,Dimethylsulfonioacetate,16737371,G2
170706_Blk_BlkMQ_1,Dimethylsulfonioacetate,11188,G2
170706_Blk_BlkMQ_3,Dimethylsulfonioacetate,1862602,G2
170706_Blk_MQBlk_2,Dimethylsulfonioacetate,45221,G2
170706_Poo_TruePoo_Full1,Dimethylsulfonioacetate,1172624640,G2
170706_Poo_TruePoo_Full2,Dimethylsulfonioacetate,1101320192,G2
170706_Poo_TruePoo_Full3,Dimethylsulfonioacetate,1109964288,G2
170706_Poo_TruePoo_Full4,Dimethylsulfonioacetate,1033540544,G2
170706_Poo_TruePoo_Full5,Dimethylsulfonioacetate,1148848896,G2
170706_Poo_TruePoo_Full6,Dimethylsulfonioacetate,1137913728,G2
170706_Poo_TruePoo_Full7,Dimethylsulfonioacetate,1155559040,G2
170706_Poo_TruePoo_Half1,Dimethylsulfonioacetate,558042240,G2
170706_Poo_TruePoo_Half2,Dimethylsulfonioacetate,559476800,G2
170706_Poo_TruePoo_Half3,Dimethylsulfonioacetate,563592320,G2
170706_Poo_TruePoo_Half4,Dimethylsulfonioacetate,572934080,G2
170706_Poo_TruePoo_Half5,Dimethylsulfonioacetate,622517312,G2
170706_Poo_TruePoo_Half6,Dimethylsulfonioacetate,609488192,G2
170706_Poo_TruePoo_Half7,Dimethylsulfonioacetate,618926400,G2
170706_Smp_S3E15D15_A,Dimethylsulfonioacetate,400646144,G2
170706_Smp_S3E15D15_B,Dimethylsulfonioacetate,172560048,G2
170706_Smp_S3E15D15_C,Dimethylsulfonioacetate,194551424,G2
170706_Smp_S3E15E15_Ds,Dimethylsulfonioacetate,40224580,G2
170706_Smp_S4E16D15_A,Dimethylsulfonioacetate,362665184,G2
170706_Smp_S4E16D15_B,Dimethylsulfonioacetate,397805952,G2
170706_Smp_S4E16D15_C,Dimethylsulfonioacetate,300015488,G2
170706_Smp_S4E16D15_Ds,Dimethylsulfonioacetate,119729800,G2
170706_Smp_S5E28D15_A,Dimethylsulfonioacetate,300604736,G2
170706_Smp_S5E28D15_B,Dimethylsulfonioacetate,323354592,G2
170706_Smp_S5E28D15_C,Dimethylsulfonioacetate,592447680,G2
170706_Smp_S5E28D15_Ds,Dimethylsulfonioacetate,53149412,G2
170706_Smp_S6E37D15_A,Dimethylsulfonioacetate,4700138496,G2
170706_Smp_S6E37D15_B,Dimethylsulfonioacetate,2752750080,G2
170706_Smp_S6E37D15_C,Dimethylsulfonioacetate,1904136192,G2
170706_Smp_S6E37D15_Ds,Dimethylsulfonioacetate,411832096,G2
170706_Std_4uM-StdsInH2O_1,beta-Alaninebetaine,254457,G2
170706_Std_4uM-StdsInH2O_2,beta-Alaninebetaine,1176618,G2
170706_Std_4uM-StdsInH2O_3,beta-Alaninebetaine,582693,G2
170706_Std_4uM-StdsInH2O_4,beta-Alaninebetaine,3905337,G2
170706_Std_4uM-StdsInH2O_5,beta-Alaninebetaine,772929,G2
170706_Std_4uM-StdsInH2O_6,beta-Alaninebetaine,1082198,G2
170706_Std_4uM-StdsInAqMatrix_1,beta-Alaninebetaine,2599040512,G2
170706_Std_4uM-StdsInAqMatrix_2,beta-Alaninebetaine,2114732928,G2
170706_Std_4uM-StdsInAqMatrix_3,beta-Alaninebetaine,2096423808,G2
170706_Std_4uM-StdsInAqMatrix_4,beta-Alaninebetaine,761171136,G2
170706_Std_4uM-StdsInAqMatrix_5,beta-Alaninebetaine,382789824,G2
