SampID,Vol_L,Cruise
221006_Smp_S3_C1_D1_B,3.5,RC078
221006_Smp_S3_C1_D1_C,3.8,RC078
221006_Smp_S3_C1_D2_A,5.5,RC078
221006_Smp_S3_C1_D2_B,5,RC078
221006_Smp_S3_C1_D2_C,5.25,RC078
221006_Smp_S3_C2_D3_A,4,RC078
221006_Smp_S3_C2_D3_B,4,RC078
221006_Smp_S3_C2_D3_C,4,RC078
221006_Smp_S3_C2_D4_A,4.75,RC078
221006_Smp_S3_C2_D4_B,3.5,RC078
221006_Smp_S3_C2_D4_C,4.5,RC078
221006_Smp_S4_C1_D1_A,3.1,RC078
221006_Smp_S4_C1_D1_B,3,RC078
221006_Smp_S4_C1_D1_C,3.2,RC078
221006_Smp_S4_C1_D2_A,3.25,RC078
221006_Smp_S4_C1_D2_B,2.5,RC078
221006_Smp_S4_C1_D2_C,2.9,RC078
221006_Smp_S4_C2_D3_A,4.25,RC078
221006_Smp_S4_C2_D3_B,4,RC078
221006_Smp_S4_C2_D3_C,3.5,RC078
221006_Smp_S4_C2_D4_A,3.75,RC078
221006_Smp_S4_C2_D4_B,3.1,RC078
221006_Smp_S4_C2_D4_C,3.5,RC078
221006_Smp_S4_C3_D5_A,NA,RC078
221006_Smp_S4_C3_D5_B,NA,RC078
221006_Smp_S4_C3_D5_C,NA,RC078
221006_Smp_S4_C3_D6_A,NA,RC078
221006_Smp_S4_C3_D6_B,NA,RC078
221006_Smp_S4_C3_D6_C,NA,RC078
221006_Smp_S4_C1_D1_Blk,0.5,RC078
221006_Smp_S4_C1_D2_Blk,0.5,RC078
221006_Smp_S4_C2_D3_Blk,0.5,RC078
221006_Smp_S4_C2_D4_Blk,0.5,RC078
221006_Smp_S5_C3_D3_A,1.2,RC078
221006_Smp_S5_C3_D3_B,2,RC078
221006_Smp_S5_C3_D3_C,1.6,RC078
221006_Smp_S5_C3_D2_A,1.8,RC078
221006_Smp_S5_C3_D2_B,1.8,RC078
221006_Smp_S5_C3_D2_C,1.8,RC078
221006_Smp_S5_C3_D1_A,2,RC078
221006_Smp_S5_C3_D1_B,2,RC078
221006_Smp_S5_C3_D1_C,2,RC078
221006_Smp_S6_C1_D1_A,2.2,RC078
221006_Smp_S6_C1_D1_B,2.1,RC078
221006_Smp_S6_C1_D1_C,2,RC078
221006_Smp_S6_C1_D2_A,1.75,RC078
221006_Smp_S6_C1_D2_B,1.5,RC078
221006_Smp_S6_C1_D2_C,2,RC078
221006_Smp_S6_C2_D3_A,4.2,RC078
221006_Smp_S6_C2_D3_B,3.5,RC078
221006_Smp_S6_C2_D3_C,3.7,RC078
221006_Smp_S6_C2_D4_A,4.1,RC078
221006_Smp_S6_C2_D4_B,3.7,RC078
221006_Smp_S6_C2_D4_C,3.8,RC078
221006_Smp_S7_C1_D1_A,4,RC078
221006_Smp_S7_C1_D1_B,3.5,RC078
221006_Smp_S7_C1_D1_C,4,RC078
221006_Smp_S7_C1_D2_A,3.7,RC078
221006_Smp_S7_C1_D2_B,4,RC078
221006_Smp_S7_C1_D2_C,4,RC078
221006_Smp_S7_C2_D3_A,5,RC078
221006_Smp_S7_C2_D3_B,4.5,RC078
221006_Smp_S7_C2_D3_C,4.5,RC078
221006_Smp_S7_C2_D4_A,3.25,RC078
221006_Smp_S7_C2_D4_B,3.1,RC078
221006_Smp_S7_C2_D4_C,4,RC078
221006_Smp_S7_C3_D5_A,2,RC078
221006_Smp_S7_C3_D5_B,2.25,RC078
221006_Smp_S7_C3_D5_C,2.5,RC078
221006_Smp_S7_C3_D6_A,1.6,RC078
221006_Smp_S7_C3_D6_B,1.75,RC078
221006_Smp_S7_C3_D6_C,1.75,RC078
221006_Smp_S7_C1_D1_Blk,0.5,RC078
221006_Smp_S7_C2_D3_Blk,0.5,RC078
221006_Smp_S7_C3_D5_Blk,0.5,RC078
221006_Smp_S8_C1_D1_A_4L,4,RC078
221006_Smp_S8_C1_D2_A,1.4,RC078
221006_Smp_S8_C1_D1_A_2L,2,RC078
221006_Smp_UKH1_0nM_A,1,RC078
221006_Smp_UKH1_0nM_B,1,RC078
221006_Smp_UKH1_0nM_C,1,RC078
221006_Smp_UKH1_5nM_A,1,RC078
221006_Smp_UKH1_5nM_B,1,RC078
221006_Smp_UKH1_5nM_C,1,RC078
221006_Smp_UKH1_10nM_A,1,RC078
221006_Smp_UKH1_10nM_B,1,RC078
221006_Smp_UKH1_10nM_C,1,RC078
221006_Smp_UKH1_50nM_A,1,RC078
221006_Smp_UKH1_50nM_B,1,RC078
221006_Smp_UKH1_50nM_C,1,RC078
221006_Smp_UKH1_200nM_A,1,RC078
221006_Smp_UKH1_200nM_B,1,RC078
221006_Smp_UKH1_200nM_C,1,RC078
221006_Smp_UKH1_500nM_A,1,RC078
221006_Smp_UKH1_500nM_B,1,RC078
221006_Smp_UKH1_500nM_C,1,RC078
221006_Smp_UKH1_2000nM_A,1,RC078
221006_Smp_UKH1_2000nM_B,1,RC078
221006_Smp_UKH1_2000nM_C,1,RC078
221006_Smp_UKT1_Onm_A,1,RC078
221006_Smp_UKT1_Onm_B,1,RC078
221006_Smp_UKT1_Onm_C,1,RC078
221006_Smp_UKT1_5nM_A,1,RC078
221006_Smp_UKT1_5nM_B,1,RC078
221006_Smp_UKT1_5nM_C,1,RC078
221006_Smp_UKT1_10nM_A,1,RC078
221006_Smp_UKT1_10nM_B,1,RC078
221006_Smp_UKT1_10nM_C,1,RC078
221006_Smp_UKT1_50nM_A,1,RC078
221006_Smp_UKT1_50nM_B,1,RC078
221006_Smp_UKT1_50nM_C,1,RC078
221006_Smp_UKT1_200nM_A,1,RC078
221006_Smp_UKT1_200nM_B,1,RC078
221006_Smp_UKT1_200nM_C,1,RC078
221006_Smp_UKT1_500nM_A,1,RC078
221006_Smp_UKT1_500nM_B,1,RC078
221006_Smp_UKT1_500nM_C,1,RC078
221006_Smp_UKT1_2000nM_A,1,RC078
221006_Smp_UKT1_2000nM_B,1,RC078
221006_Smp_UKT1_2000nM_C,1,RC078
221006_Smp_UKT2_0nM_A,1,RC078
221006_Smp_UKT2_0nM_B,1,RC078
221006_Smp_UKT2_0nM_C,1,RC078
221006_Smp_UKT2_5nM_A,1,RC078
221006_Smp_UKT2_5nM_B,1,RC078
221006_Smp_UKT2_5nM_C,1,RC078
221006_Smp_UKT2_10nM_A,1,RC078
221006_Smp_UKT2_10nM_B,1,RC078
221006_Smp_UKT2_10nM_C,1,RC078
221006_Smp_UKT2_50nM_A,1,RC078
221006_Smp_UKT2_50nM_B,1,RC078
221006_Smp_UKT2_50nM_C,1,RC078
221006_Smp_UKT2_200nM_A,1,RC078
221006_Smp_UKT2_200nM_B,1,RC078
221006_Smp_UKT2_200nM_C,1,RC078
221006_Smp_UKT2_500nM_A,1,RC078
221006_Smp_UKT2_500nM_B,1,RC078
221006_Smp_UKT2_500nM_C,1,RC078
221006_Smp_UKT1_2000nM_A,1,RC078
221006_Smp_UKT1_2000nM_B,1,RC078
221006_Smp_UKT1_2000nM_C,1,RC078
221006_Smp_UKGBT1_0nM_A,1,RC078
221006_Smp_UKGBT1_0nM_B,1,RC078
221006_Smp_UKGBT1_0nM_C,1,RC078
221006_Smp_UKGBT1_1000nM_A,1,RC078
221006_Smp_UKGBT1_1000nM_B,1,RC078
221006_Smp_UKGBT1_1000nM_C,1,RC078
221006_Smp_UKGBT1_10nM_A,1,RC078
221006_Smp_UKGBT1_10nM_B,1,RC078
221006_Smp_UKGBT1_10nM_C,0.9,RC078
221006_Smp_UKGBT1_50nM_A,1,RC078
221006_Smp_UKGBT1_50nM_B,1,RC078
221006_Smp_UKGBT1_50nM_C,1,RC078
221006_Smp_UKGBT1_200nM_A,1,RC078
221006_Smp_UKGBT1_200nM_B,1,RC078
221006_Smp_UKGBT1_200nM_C,1,RC078
221006_Smp_UKGBT1_500nM_A,1,RC078
221006_Smp_UKGBT1_500nM_B,1,RC078
221006_Smp_UKGBT1_500nM_C,1,RC078
221006_Smp_UKGBT1_2000nM_A,1,RC078
221006_Smp_UKGBT1_2000nM_B,1,RC078
221006_Smp_UKGBT1_2000nM_C,1,RC078
221006_Smp_UKGBT1_5000nM_A,1,RC078
221006_Smp_UKT2_0nM_A,1,RC078
221006_Smp_UKT2_0nM_B,1,RC078
221006_Smp_UKT2_0nM_C,1,RC078
221006_Smp_UKT2_10nM_A,1,RC078
221006_Smp_UKT2_10nM_B,1,RC078
221006_Smp_UKT2_10nM_C,1,RC078
221006_Smp_UKT2_50nM_A,1,RC078
221006_Smp_UKT2_50nM_B,1,RC078
221006_Smp_UKT2_50nM_C,1,RC078
221006_Smp_UKT2_200nM_A,1,RC078
221006_Smp_UKT2_200nM_B,1,RC078
221006_Smp_UKT2_200nM_C,1,RC078
221006_Smp_UKT2_500nM_A,1,RC078
221006_Smp_UKT2_500nM_B,1,RC078
221006_Smp_UKT2_500nM_C,1,RC078
221006_Smp_UKT2_1000nM_A,1,RC078
221006_Smp_UKT2_1000nM_B,1,RC078
221006_Smp_UKT2_1000nM_C,1,RC078
221006_Smp_UKT2_2000nM_A,1,RC078
221006_Smp_UKT2_2000nM_B,1,RC078
221006_Smp_UKT2_2000nM_C,1,RC078
221006_Smp_UKT2_5000nM_A,1,RC078
221006_Smp_UKH2_10nM_Blk,0.5,RC078
221006_Smp_UKH2_200nM_Blk,0.5,RC078
221006_Smp_UKH2_2000nM_Blk,0.5,RC078
221006_Smp_SynLys_Cont_T0_A,1,RC078
221006_Smp_SynLys_Cont_T0_B,1,RC078
221006_Smp_SynLys_Cont_T0_C,1,RC078
221006_Smp_SynLys_Cont_T24_A,1,RC078
221006_Smp_SynLys_Cont_T24_B,1,RC078
221006_Smp_SynLys_Cont_T24_C,1,RC078
221006_Smp_SynLys_Trt_T24_A,1,RC078
221006_Smp_SynLys_Trt_T24_B,1,RC078
221006_Smp_SynLys_Trt_T24_C,1,RC078
221006_Smp_PE_Cont_T0_A,2,RC078
221006_Smp_PE_Cont_T0_B,2,RC078
221006_Smp_PE_Cont_T0_C,2,RC078
221006_Smp_PE_NO3_T6_A,2,RC078
221006_Smp_PE_NO3_T6_B,2,RC078
221006_Smp_PE_NO3_T6_C,2,RC078
221006_Smp_PE_NO3_T12_A,2,RC078
221006_Smp_PE_NO3_T12_B,2,RC078
221006_Smp_PE_NO3_T12_C,2,RC078
221006_Smp_PE_NO3_T24_A,2,RC078
221006_Smp_PE_NO3_T24_B,2,RC078
221006_Smp_PE_NO3_T24_C,2,RC078
221006_Smp_PE_NO3_T36_A,2,RC078
221006_Smp_PE_NO3_T36_B,2,RC078
221006_Smp_PE_NO3_T36_C,2,RC078
221006_Smp_PE_NH4_T6_A,2,RC078
221006_Smp_PE_NH4_T6_B,2,RC078
221006_Smp_PE_NH4_T6_C,2,RC078
