Cruise,Parent_ID,Part.SampID,Diss.SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.detected,Part.Impute.Conc.nM,Diss.detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,Diss.Impute.Conc.nM,Diss.LOD.nM,Diss.Conc.no.blk.sub.nM,Diss.LOD.no.blk.sub.nM
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Asparagine,0.12496879596377916,0.00999750367710233,0.03999001470840933,0.01999500735420466,NA,Yes,0.0016909694001912,No,0.04210248691620593,0.0452189959639992,0.1808759838559968,0.0904379919279984,NA,0.0817213833911617,0.0817213833911617,0.509098995359201,0.5456013827863635
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Aspartic acid,1.6651980600957517,0.13321584480766013,0.5328633792306405,0.13321584480766013,NA,Yes,0.00611843653513392,Yes,0.16275548003535012,1.4883306157771612,5.953322463108645,1.4883306157771612,NA,0.39726644417027035,0.39726644417027035,2.421956548145091,1.3308923765382
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Glutamic acid,3.710938061647512,0.29687504493180095,1.4843752246590047,0.29687504493180095,NA,Yes,0.00219652197759229,Yes,0.08629425851860859,1.2940271788719,6.4701358943595,1.2940271788719,NA,0.10279196046773581,0.10279196046773581,1.6069694323763235,0.4157342139721593
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Glutamine,3.238391942843166,0.25907135542745324,1.2953567771372665,0.5181427108549065,NA,Yes,1.4486726485862596e-4,Yes,0.02176369579885233,0.13771848759991312,0.6885924379995656,0.27543697519982624,NA,0.005824404762137962,0.005824404762137962,0.16613508243398725,0.0342409995962121
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Lysine,0.2833507919504758,0.02266806335603806,0.1360083801362284,0.04533612671207613,NA,Yes,0.00131826435746422,No,0.01891521968503741,0.026545341099842412,0.15927204659905447,0.053090682199684824,NA,0.09615716340867614,0.09615716340867614,0.3365697452853632,0.40618156759419694
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Threonine,0.13334414264943342,0.01066753141195467,0.04267012564781869,0.01066753141195467,NA,No,0.00796499792478672,Yes,0.08657126728518703,0.9301184055114121,3.7204736220456485,0.9301184055114121,NA,0.08520771691755569,0.08520771691755569,1.3918210174467367,0.5469103288528803
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Tyrosine,0.06251000116439628,0.0050008000931517,0.04500720083836532,0.0050008000931517,NA,Yes,7.354623781821395e-4,No,0.00539425222646735,-0.028676122326031506,-0.25808510093428355,-0.028676122326031506,NA,0.24590414297677118,0.24590414297677118,0.1886102177086488,0.4631904830114515
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Proline betaine,0.05469600571863408,0.00437568045749072,0.03062976320243508,0.00437568045749072,NA,Yes,9.762530856877975e-5,Yes,0.00168455903766377,0.024247085097308947,0.16972959568116264,0.024247085097308947,NA,0.0014709316280489201,0.0014709316280489201,0.02894431336192047,0.00616815989266044
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Sarcosine,0.07955453528325829,0.00636436282266066,0.01909308846798198,0.00636436282266066,NA,Yes,0.00103835562067599,No,0.00736431050911152,0.052193820457645035,0.1565814613729351,0.052193820457645035,NA,0.05352048466864415,0.05352048466864415,0.1796173294905249,0.180943993701524
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Trigonelline,0.1945906460168267,0.01556725168134613,0.10897076176942296,0.01556725168134613,NA,Yes,2.311866422967845e-4,Yes,0.00693228794951141,0.06091625657837692,0.42641379604863844,0.06091625657837692,NA,0.04222405572512507,0.04222405572512507,0.13006168760809406,0.1113694867548422
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Trimethylamine N-oxide,0.3675727354752806,0.02940581883802245,0.08821745651406734,0.02940581883802245,NA,Yes,0.00215966233479061,Yes,0.07838430999424556,1.4132414670738154,4.239724401221446,1.4132414670738154,NA,0.008889758156862722,0.008889758156862722,1.4329855574816373,0.02863384856468467
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,beta-Alanine,0.24643891486213457,0.01971511318897076,0.05914533956691228,0.01971511318897076,NA,Yes,0.00158033252129447,No,0.06642258817145925,-0.17844313904323605,-0.5353294171297082,-0.17844313904323605,NA,0.24076849924504629,0.24076849924504629,0.8090449229166777,1.22825656120496
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,beta-Alaninebetaine,0.6081623935278677,0.04865299148222941,0.2919179488933765,0.04865299148222941,NA,Yes,2.0856590682921469e-4,Yes,0.01417001177699447,0.2064108699380544,1.2384652196283263,0.2064108699380544,NA,0.003140874411352971,0.003140874411352971,0.21404851626879876,0.01077852074209731
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,beta-Glutamic acid,0.03781569410744627,0.0030252555285957,0.0151262776429785,0.0030252555285957,NA,Yes,1.4916078302855232e-5,Yes,0.0130273637090398,0.16426791395449072,0.8213395697724536,0.16426791395449072,NA,0.03335442870623739,0.03335442870623739,0.24626396425406052,0.1153504790058072
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Arsenobetaine,0.01526775666687832,0.00122142053335026,0.00610710266675132,NA,NA,Yes,1.6008457497335908e-7,Yes,6.635043274366026e-5,5.451836097609146e-4,0.002725918048804573,NA,NA,3.0268625195462507e-5,3.0268625195462507e-5,5.898553470911396e-4,7.494036252568757e-5
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Glycine betaine,1.8454774306998851,0.14763819445599083,0.7381909722799541,0.14763819445599083,NA,Yes,0.02108447007186997,Yes,0.8065711094357928,5.8661629352282585,29.330814676141294,5.8661629352282585,NA,0.9253683573019953,0.9253683573019953,8.065711094357928,3.1249165164316652
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Homarine,0.08474296168038493,0.00677943693443079,0.04745605854101556,0.00677943693443079,NA,Yes,8.820015195302277e-6,Yes,0.02163607419235437,0.20970855209160252,1.4679598646412177,0.20970855209160252,NA,0.00385604127207847,0.00385604127207847,0.21636074192354376,0.01050823110401972
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Alanine,0.8825505962375837,0.07060404769900669,0.21181214309702007,0.07060404769900669,NA,Yes,0.01057745955377315,No,0.296140265845199,-0.22488051258500796,-0.6746415377550239,-0.22488051258500796,NA,0.860831724703151,0.860831724703151,2.9614026584519895,4.047114895740148
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Isoleucine,2.6730292753294735,0.21384234202635788,1.2830540521581473,0.21384234202635788,NA,Yes,0.00747216874184774,Yes,0.17486793789228175,0.8151638280943381,4.890982968566028,0.8151638280943381,NA,0.2718333858525752,0.2718333858525752,2.929111187475406,2.3857807452336433
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Proline,0.20016942784845185,0.01601355422787614,0.08006777113938073,0.01601355422787614,NA,Yes,0.00430313741295324,Yes,0.07567810374638109,0.4157422447251965,2.0787112236259824,0.4157422447251965,NA,0.12037087248387068,0.12037087248387068,0.7567810374638109,0.46140966522248505
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Taurine,1.3467234226358775,0.1077378738108702,0.2154757476217404,0.1077378738108702,0.1077378738108702,Yes,4.425646755718793e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Isethionic acid,1.486540008611393,0.1189232006889114,0.2378464013778228,NA,0.1189232006889114,Yes,0.00581703746371054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,L-Cysteic acid,0.02154729754033557,0.00172378380322684,0.00517135140968053,0.00172378380322684,0.00172378380322684,Yes,9.787663970899321e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
