Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU9_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU9_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU9_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU10_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU10_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU10_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU11_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU11_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU11_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU14_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU14_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU14_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU15_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU15_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU15_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU16_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU16_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU16_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU17_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU17_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU17_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU18_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU18_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU18_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU19_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU19_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU19_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU20_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU20_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU20_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU21_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU21_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU21_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU22_A,5-Hydroxyectoine,Yes
