Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220628_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220628_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,24729144,NA,NA,NA
220628_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,21714510,NA,NA,NA
220628_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,43451224,NA,NA,NA
220628_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,41702312,NA,NA,NA
220628_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,35047404,NA,NA,NA
220628_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,35740224,NA,NA,NA
220628_Std_H2OinMatrix_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,24067446,NA,NA,NA
220628_Std_H2OinMatrix_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,20006266,NA,NA,NA
220713_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220713_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220713_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,60586252,NA,NA,NA
220713_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,57491040,NA,NA,NA
220628_Poo_TruePooG3_Full1,NA,NA,KM1906,5-Hydroxyectoine,14202521,NA,NA,NA
220628_Poo_TruePooG3_Full2,NA,NA,KM1906,5-Hydroxyectoine,9165632,NA,NA,NA
220628_Poo_TruePooG3_Full3,NA,NA,KM1906,5-Hydroxyectoine,7408799,NA,NA,NA
220628_Poo_TruePooG3_Half1,NA,NA,KM1906,5-Hydroxyectoine,6671694,NA,NA,NA
220628_Poo_TruePooG3_Half2,NA,NA,KM1906,5-Hydroxyectoine,6451229,NA,NA,NA
220628_Poo_TruePooG3_Half3,NA,NA,KM1906,5-Hydroxyectoine,6784713,NA,NA,NA
220628_Smp_MBlk1_A,NA,NA,KM1906,5-Hydroxyectoine,3205537,NA,NA,NA
220628_Smp_MBlk1_B,NA,NA,KM1906,5-Hydroxyectoine,768421,NA,NA,NA
220628_Smp_MMQBlk1_A,NA,NA,KM1906,5-Hydroxyectoine,424444,NA,NA,NA
220628_Smp_MMQBlk1_B,NA,NA,KM1906,5-Hydroxyectoine,167448,NA,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,5-Hydroxyectoine,11897964,NA,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,5-Hydroxyectoine,8876258,NA,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,5-Hydroxyectoine,43039028,NA,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,5-Hydroxyectoine,9720046,NA,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,5-Hydroxyectoine,5623224,NA,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,5-Hydroxyectoine,28382974,NA,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,5-Hydroxyectoine,5897485,NA,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,5-Hydroxyectoine,4901332,NA,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,5-Hydroxyectoine,16139258,NA,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,5-Hydroxyectoine,570731.25,NA,Flag,NA
220628_Smp_MU4_B,MU4,B,KM1906,5-Hydroxyectoine,6436838,NA,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,5-Hydroxyectoine,11087512,NA,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,5-Hydroxyectoine,3430304,NA,NA,NA
