Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment
220628_Smp_MU11_A,220623_Smp_MU11_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.170786457135622,1.195505199949354,0.170786457135622,NA,0.09332048303983194,0.09332048303983194,NA,0.26410694017545394,1.8487485812281776,0.26410694017545394,NA,NA,NA,NA,0.00313928717680363,38.58,-158,7,4/15/19,05:30:00,NA,NPTZ,NA
220628_Smp_MU11_B,220623_Smp_MU11_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.14225248671106197,0.9957674069774338,0.14225248671106197,NA,0.12073543208635064,0.12073543208635064,NA,0.2629879187974126,1.8409154315818883,0.2629879187974126,NA,NA,NA,NA,0.00313928717680363,38.58,-158,7,4/15/19,05:30:00,NA,NPTZ,NA
220628_Smp_MU11_C,220623_Smp_MU11_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.11420151950488602,0.7994106365342022,0.11420151950488602,NA,0.09806581894902422,0.09806581894902422,NA,0.21226733845391024,1.4858713691773717,0.21226733845391024,NA,NA,NA,NA,0.00313928717680363,38.58,-158,7,4/15/19,05:30:00,NA,NPTZ,NA
220628_Smp_MU14_A,220623_Smp_MU14_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.05813441219873056,0.4069408853911139,0.05813441219873056,NA,0.11875664538782194,0.11875664538782194,NA,0.1768910575865525,1.2382374031058674,0.1768910575865525,NA,NA,NA,NA,0.00313928717680363,37.38,-158,7,4/23/19,12:00:00,NA,NPTZ,NA
220628_Smp_MU14_B,220623_Smp_MU14_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.07412792244688554,0.5188954571281987,0.07412792244688554,NA,0.12492861140714376,0.12492861140714376,NA,0.1990565338540293,1.393395736978205,0.1990565338540293,NA,NA,NA,NA,0.00313928717680363,37.38,-158,7,4/23/19,12:00:00,NA,NPTZ,NA
220628_Smp_MU14_C,220623_Smp_MU14_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.06451920113266926,0.4516344079286848,0.06451920113266926,NA,0.06182839830901667,0.06182839830901667,NA,0.12634759944168594,0.8844331960918015,0.12634759944168594,NA,NA,NA,NA,0.00313928717680363,37.38,-158,7,4/23/19,12:00:00,NA,NPTZ,NA
220628_Smp_MU15_A,220623_Smp_MU15_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.13433001683691287,0.94031011785839,0.13433001683691287,NA,0.05609515370386843,0.05609515370386843,NA,0.19042517054078129,1.332976193785469,0.19042517054078129,NA,NA,NA,NA,0.00313928717680363,38.45,-158,7,4/23/19,18:25:00,NA,NPTZ,NA
220628_Smp_MU15_B,220623_Smp_MU15_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.1984288585099236,1.389002009569465,0.1984288585099236,NA,0.10966862482950482,0.10966862482950482,NA,0.30809748333942844,2.156682383375999,0.30809748333942844,NA,NA,NA,NA,0.00313928717680363,38.45,-158,7,4/23/19,18:25:00,NA,NPTZ,NA
220628_Smp_MU15_C,220623_Smp_MU15_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.1651021476203369,1.1557150333423585,0.1651021476203369,NA,0.06745739932015428,0.06745739932015428,NA,0.2325595469404912,1.6279168285834384,0.2325595469404912,NA,NA,NA,NA,0.00313928717680363,38.45,-158,7,4/23/19,18:25:00,NA,NPTZ,NA
220628_Smp_MU16_A,220623_Smp_MU16_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01471601937478628,0.103012135623504,0.01471601937478628,NA,0.0703508441989724,0.0703508441989724,NA,0.08506686357375869,0.5954680450163108,0.08506686357375869,NA,NA,NA,NA,0.00313928717680363,40.53,-158,7,4/24/19,06:00:00,NA,NPTZ,NA
220628_Smp_MU16_B,220623_Smp_MU16_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0259335028827387,0.18153452017917088,0.0259335028827387,NA,0.04425832011311355,0.04425832011311355,NA,0.07019182299585225,0.49134276097096574,0.07019182299585225,NA,NA,NA,NA,0.00313928717680363,40.53,-158,7,4/24/19,06:00:00,NA,NPTZ,NA
220628_Smp_MU16_C,220623_Smp_MU16_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0222087140562588,0.1554609983938116,0.0222087140562588,NA,0.19834635991238983,0.19834635991238983,NA,0.22055507396864862,1.5438855177805406,0.22055507396864862,NA,NA,NA,NA,0.00313928717680363,40.53,-158,7,4/24/19,06:00:00,NA,NPTZ,NA
