Part.SampID,Diss.SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,UTC.time.round,sst,sss,lat,lon,chla,pc,pn,N_N,SRP,bact_abu,bact_c,chla_interp,pc_interp,pn_interp,N_N_interp,SRP_interp,bact_abu_interp,bact_c_interp,DON,pp_13c,pp_14c,DON_interp,pp_13c_interp,pp_14c_interp
220902_Smp_TN397_S17_U_C,220602_Smp_TN397_S17_U_C,TN397,11.92,-150.6948,12/12/21,06:00:00,7,2021-12-12T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_A,NA,TN397,14.772,-152.8644,13/12/2021,06:40:00,7,2021-12-13T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_B,NA,TN397,14.772,-152.8644,13/12/2022,06:40:00,7,2022-12-13T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_C,NA,TN397,14.772,-152.8644,13/12/2023,06:40:00,7,2023-12-13T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U1_A,220602_Smp_TN397_U1_A,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,2021-11-19T06:00:00Z,17.865323305555556,33.523961444444446,32.434773972625,-117.56053599698149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U1_B,220602_Smp_TN397_U1_B,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,2021-11-19T06:00:00Z,17.865323305555556,33.523961444444446,32.434773972625,-117.56053599698149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U1_C,220602_Smp_TN397_U1_C,TN397,32.25921,-117.3388,18/11/2021,22:00:00,7,2021-11-19T06:00:00Z,17.865323305555556,33.523961444444446,32.434773972625,-117.56053599698149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U2_A,220602_Smp_TN397_U2_A,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,2021-11-19T08:00:00Z,18.595011694444445,33.497090166666666,32.19438269277315,-117.97572294060647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U2_B,220602_Smp_TN397_U2_B,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,2021-11-19T08:00:00Z,18.595011694444445,33.497090166666666,32.19438269277315,-117.97572294060647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U2_C,220602_Smp_TN397_U2_C,TN397,32.11654,-117.58582,19/11/2021,00:00:00,7,2021-11-19T08:00:00Z,18.595011694444445,33.497090166666666,32.19438269277315,-117.97572294060647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U3_A,220602_Smp_TN397_U3_A,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,2021-11-19T10:00:00Z,18.75058637032676,33.52386685310568,31.95935156860465,-118.39318533997644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U3_B,220602_Smp_TN397_U3_B,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,2021-11-19T10:00:00Z,18.75058637032676,33.52386685310568,31.95935156860465,-118.39318533997644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_U3_C,220602_Smp_TN397_U3_C,TN397,31.5634,-118.25816,19/11/2021,02:09:00,7,2021-11-19T10:00:00Z,18.75058637032676,33.52386685310568,31.95935156860465,-118.39318533997644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
