Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,smp.remove,Blk.Av
220623_Smp_MU11_A,MU11,A,KM1906,(3-Carboxypropyl)trimethylammonium,1229910,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,(3-Carboxypropyl)trimethylammonium,2012362,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,(3-Carboxypropyl)trimethylammonium,1335765,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,(3-Carboxypropyl)trimethylammonium,26410056,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,(3-Carboxypropyl)trimethylammonium,4968595,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,(3-Carboxypropyl)trimethylammonium,18787912,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,(3-Carboxypropyl)trimethylammonium,419228,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,(3-Carboxypropyl)trimethylammonium,398703,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,(3-Carboxypropyl)trimethylammonium,539017,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,(3-Carboxypropyl)trimethylammonium,1825895,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,(3-Carboxypropyl)trimethylammonium,1404500,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,(3-Carboxypropyl)trimethylammonium,566817,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,(3-Carboxypropyl)trimethylammonium,352204,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,(3-Carboxypropyl)trimethylammonium,1262843,NA,NA,NA,NA
