Name,Cruise,RFmax,RFmin,RF,RFratio
Sucrose,G3_DepthProfiles,26665480,20420739.2,23543109.6,0.7749655703384275
Sucrose,G4_DepthProfiles,23270494.4,12323296,17796895.2,0.765605700095814
Sucrose,KM1906,13974198.4,13569297.6,13771748,0.7988428001249072
Sucrose,PERIFIX,58316723.2,52711494.4,55514108.8,0.9207807574754179
Sucrose,RC078,8223265.6,5303356,6763310.8,1.2115451221797224
Sucrose,TN397,32104560,26082486.4,29093523.2,0.9165105623812878
Taurine,G3_DepthProfiles,67730216,55411712,61570964,0.9401973661566392
Taurine,G4_DepthProfiles,50843944,0,25421972,0.7416990827644597
Taurine,KM1906,81203480,62006708,71605094,0.31507701258993315
Taurine,PERIFIX,302085120,209989424,256037272,0.40529715790916543
Taurine,RC078,42708300,21412466,32060383,1.3814766601054709
Taurine,TN397,129701872,85984776,107843324,0.6664472170610902
Trehalose,G3_DepthProfiles,26036890,19782260,22909575,1.0560030663473055
Trehalose,G4_DepthProfiles,18561058,12012845,15286951.5,0.7834565511905192
Trehalose,KM1906,15841724,11599342,13720533,0.9268864493499258
Trehalose,PERIFIX,53332484,44899628,49116056,0.9531994290298549
Trehalose,RC078,8635545,5738590,7187067.5,1.2105194344114283
Trehalose,TN397,34799120,34022516,34410818,1.0554846928362944
Trigonelline,G3_DepthProfiles,1788396928,1636174848,1712285888,0.7766630136478734
Trigonelline,G4_DepthProfiles,1340082560,1220081920,1280082240,0.8981319362779965
Trigonelline,KM1906,1826337408,1613732736,1720035072,0.9761483217562104
Trigonelline,PERIFIX,2141229568,1624552192,1882890880,0.7395793479766848
Trigonelline,RC078,598746944,439424000,519085472,1.034083930041819
Trigonelline,TN397,1950772352,1441216512,1695994432,0.9178842065702146
Trimethylamine N-oxide,G3_DepthProfiles,419216768,410254144,414735456,0.9700954475957224
Trimethylamine N-oxide,G4_DepthProfiles,402379904,304526624,353453264,0.9538678339958278
Trimethylamine N-oxide,KM1906,516857472,432516672,474687072,0.9728417419910116
Trimethylamine N-oxide,PERIFIX,429733184,411253376,420493280,0.8826305220268834
Trimethylamine N-oxide,RC078,124373912,102377680,113375796,0.9297632018815684
Trimethylamine N-oxide,TN397,511999136,392413664,452206400,0.9952074270873017
