Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU16_B,MU16,B,KM1906,(3-Carboxypropyl)trimethylammonium,676939,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,(3-Carboxypropyl)trimethylammonium,693290,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,(3-Carboxypropyl)trimethylammonium,716577,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,(3-Carboxypropyl)trimethylammonium,1989599,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,(3-Carboxypropyl)trimethylammonium,422636,NA,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,(3-Carboxypropyl)trimethylammonium,234564,NA,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,(3-Carboxypropyl)trimethylammonium,315332,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,(3-Carboxypropyl)trimethylammonium,300190,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,(3-Carboxypropyl)trimethylammonium,298129,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,(3-Carboxypropyl)trimethylammonium,441265,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,(3-Carboxypropyl)trimethylammonium,361982,NA,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,(3-Carboxypropyl)trimethylammonium,250760,NA,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,(3-Carboxypropyl)trimethylammonium,330965,NA,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,(3-Carboxypropyl)trimethylammonium,217931,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,(3-Carboxypropyl)trimethylammonium,86510,NA,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,(3-Carboxypropyl)trimethylammonium,458100,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,(3-Carboxypropyl)trimethylammonium,396018,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,(3-Carboxypropyl)trimethylammonium,406779,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,(3-Carboxypropyl)trimethylammonium,446415,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,(3-Carboxypropyl)trimethylammonium,190446,NA,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,(3-Carboxypropyl)trimethylammonium,371493,NA,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,(3-Carboxypropyl)trimethylammonium,249680,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,(3-Carboxypropyl)trimethylammonium,4674353,NA,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,(3-Carboxypropyl)trimethylammonium,459428,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,(3-Carboxypropyl)trimethylammonium,125943,NA,NA,NA,NA
