Cruise,Parent_ID,Part.SampID,Diss.SampID
TN397,TN397_U8_BB,220902_Smp_TN397_U8_BB,NA
TN397,TN397_U9_A,220902_Smp_TN397_U9_A,220602_Smp_TN397_U9_A
TN397,TN397_U9_B,220902_Smp_TN397_U9_B,220602_Smp_TN397_U9_B
TN397,TN397_U9_C,220902_Smp_TN397_U9_C,220602_Smp_TN397_U9_C
TN397,TN397_U10_A,220902_Smp_TN397_U10_A,220602_Smp_TN397_U10_A
TN397,TN397_U10_B,220902_Smp_TN397_U10_B,220602_Smp_TN397_U10_B
TN397,TN397_U10_C,220902_Smp_TN397_U10_C,220602_Smp_TN397_U10_C
TN397,TN397_U11_A,220902_Smp_TN397_U11_A,220602_Smp_TN397_U11_A
TN397,TN397_U11_B,220902_Smp_TN397_U11_B,220602_Smp_TN397_U11_B
TN397,TN397_U11_C,220902_Smp_TN397_U11_C,220602_Smp_TN397_U11_C
TN397,TN397_U12_A,220902_Smp_TN397_U12_A,220602_Smp_TN397_U12_A
TN397,TN397_U12_B,220902_Smp_TN397_U12_B,220602_Smp_TN397_U12_B
TN397,TN397_U12_C,220902_Smp_TN397_U12_C,220602_Smp_TN397_U12_C
TN397,TN397_U13_A,220902_Smp_TN397_U13_A,220602_Smp_TN397_U13_A
TN397,TN397_U13_B,220902_Smp_TN397_U13_B,220602_Smp_TN397_U13_B
TN397,TN397_U13_C,220902_Smp_TN397_U13_C,220602_Smp_TN397_U13_C
KM1906,MU1_A,220628_Smp_MU1_A,220623_Smp_MU1_A
KM1906,MU1_B,220628_Smp_MU1_B,220623_Smp_MU1_B
KM1906,MU1_C,220628_Smp_MU1_C,220623_Smp_MU1_C
KM1906,MU2_A,220628_Smp_MU2_A,220623_Smp_MU2_A
KM1906,MU2_B,220628_Smp_MU2_B,220623_Smp_MU2_B
KM1906,MU2_C,220628_Smp_MU2_C,220623_Smp_MU2_C
KM1906,MU3_A,220628_Smp_MU3_A,220623_Smp_MU3_A
KM1906,MU3_B,220628_Smp_MU3_B,220623_Smp_MU3_B
KM1906,MU3_C,220628_Smp_MU3_C,220623_Smp_MU3_C
KM1906,MU4_A,220628_Smp_MU4_A,220623_Smp_MU4_A
KM1906,MU4_B,220628_Smp_MU4_B,220623_Smp_MU4_B
KM1906,MU4_C,220628_Smp_MU4_C,220623_Smp_MU4_C
KM1906,MU5_A,220628_Smp_MU5_A,220623_Smp_MU5_A
KM1906,MU5_B,220628_Smp_MU5_B,220623_Smp_MU5_B
KM1906,MU5_C,220628_Smp_MU5_C,220623_Smp_MU5_C
KM1906,MU6_A,220628_Smp_MU6_A,220623_Smp_MU6_A
KM1906,MU6_B,220628_Smp_MU6_B,220623_Smp_MU6_B
KM1906,MU6_C,220628_Smp_MU6_C,220623_Smp_MU6_C
KM1906,MU7_A,220628_Smp_MU7_A,220623_Smp_MU7_A
KM1906,MU7_B,220628_Smp_MU7_B,220623_Smp_MU7_B
KM1906,MU7_C,220628_Smp_MU7_C,220623_Smp_MU7_C
KM1906,MU8_A,220628_Smp_MU8_A,220623_Smp_MU8_A
KM1906,MU8_B,220628_Smp_MU8_B,220623_Smp_MU8_B
KM1906,MU8_C,220628_Smp_MU8_C,220623_Smp_MU8_C
KM1906,MU9_A,220628_Smp_MU9_A,220623_Smp_MU9_A
KM1906,MU9_B,220628_Smp_MU9_B,220623_Smp_MU9_B
KM1906,MU9_C,220628_Smp_MU9_C,220623_Smp_MU9_C
KM1906,MU10_A,220628_Smp_MU10_A,220623_Smp_MU10_A
KM1906,MU10_B,220628_Smp_MU10_B,220623_Smp_MU10_B
KM1906,MU10_C,220628_Smp_MU10_C,220623_Smp_MU10_C
KM1906,MU11_A,220628_Smp_MU11_A,220623_Smp_MU11_A
KM1906,MU11_B,220628_Smp_MU11_B,220623_Smp_MU11_B
KM1906,MU11_C,220628_Smp_MU11_C,220623_Smp_MU11_C
KM1906,MU14_A,220628_Smp_MU14_A,220623_Smp_MU14_A
KM1906,MU14_B,220628_Smp_MU14_B,220623_Smp_MU14_B
KM1906,MU14_C,220628_Smp_MU14_C,220623_Smp_MU14_C
KM1906,MU15_A,220628_Smp_MU15_A,220623_Smp_MU15_A
KM1906,MU15_B,220628_Smp_MU15_B,220623_Smp_MU15_B
KM1906,MU15_C,220628_Smp_MU15_C,220623_Smp_MU15_C
KM1906,MU16_A,220628_Smp_MU16_A,220623_Smp_MU16_A
KM1906,MU16_B,220628_Smp_MU16_B,220623_Smp_MU16_B
KM1906,MU16_C,220628_Smp_MU16_C,220623_Smp_MU16_C
KM1906,MU17_A,220628_Smp_MU17_A,220623_Smp_MU17_A
KM1906,MU17_B,220628_Smp_MU17_B,220623_Smp_MU17_B
KM1906,MU17_C,220628_Smp_MU17_C,NA
KM1906,MU18_A,220628_Smp_MU18_A,NA
KM1906,MU18_B,220628_Smp_MU18_B,NA
KM1906,MU18_C,220628_Smp_MU18_C,NA
KM1906,MU19_A,220628_Smp_MU19_A,NA
KM1906,MU19_B,220628_Smp_MU19_B,NA
KM1906,MU19_C,220628_Smp_MU19_C,NA
KM1906,MU20_A,220628_Smp_MU20_A,NA
KM1906,MU20_B,220628_Smp_MU20_B,NA
KM1906,MU20_C,220628_Smp_MU20_C,NA
KM1906,MU21_A,220628_Smp_MU21_A,NA
KM1906,MU21_B,220628_Smp_MU21_B,NA
KM1906,MU21_C,220628_Smp_MU21_C,NA
KM1906,MU22_A,220628_Smp_MU22_A,NA
KM1906,MU22_B,220628_Smp_MU22_B,NA
KM1906,MU22_C,220628_Smp_MU22_C,NA
KM1906,MU23_A,220628_Smp_MU23_A,NA
KM1906,MU23_B,220628_Smp_MU23_B,NA
KM1906,MU23_C,220628_Smp_MU23_C,NA
KM1906,MU24_A,220628_Smp_MU24_A,NA
KM1906,MU24_B,220628_Smp_MU24_B,NA
KM1906,MU24_C,220628_Smp_MU24_C,NA
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,NA
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,NA
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,NA
PERIFIX,T0Tote_4,230213_Smp_T0Tote_4,NA
PERIFIX,TfinalC_1,230213_Smp_TfinalC_1,NA
PERIFIX,TfinalC_2,230213_Smp_TfinalC_2,NA
PERIFIX,TfinalC_3,230213_Smp_TfinalC_3,NA
PERIFIX,TfinalF_1,230213_Smp_TfinalF_1,NA
PERIFIX,TfinalF_2,230213_Smp_TfinalF_2,NA
PERIFIX,TfinalF_3,230213_Smp_TfinalF_3,NA
PERIFIX,TfinalN_1,230213_Smp_TfinalN_1,NA
PERIFIX,TfinalN_2,230213_Smp_TfinalN_2,NA
PERIFIX,TfinalN_3,230213_Smp_TfinalN_3,NA
PERIFIX,TfinalNF_1,230213_Smp_TfinalNF_1,NA
PERIFIX,TfinalNF_2,230213_Smp_TfinalNF_2,NA
PERIFIX,TfinalNF_3,230213_Smp_TfinalNF_3,NA
PERIFIX,TfinalNP_1,230213_Smp_TfinalNP_1,NA
PERIFIX,TfinalNP_2,230213_Smp_TfinalNP_2,NA
PERIFIX,TfinalNP_3,230213_Smp_TfinalNP_3,NA
PERIFIX,TfinalNPF_1,230213_Smp_TfinalNPF_1,NA
PERIFIX,TfinalNPF_2,230213_Smp_TfinalNPF_2,NA
PERIFIX,TfinalNPF_3,230213_Smp_TfinalNPF_3,NA
PERIFIX,TfinalP_1,230213_Smp_TfinalP_1,NA
PERIFIX,TfinalP_2,230213_Smp_TfinalP_2,NA
PERIFIX,TfinalP_3,230213_Smp_TfinalP_3,NA
PERIFIX,TfinalPF_1,230213_Smp_TfinalPF_1,NA
PERIFIX,TfinalPF_2,230213_Smp_TfinalPF_2,NA
PERIFIX,TfinalPF_3,230213_Smp_TfinalPF_3,NA
RC078,S1_C1_5m_A,221006_Smp_S1_C1_5m_A,NA
RC078,S1_C1_5m_B,221006_Smp_S1_C1_5m_B,NA
RC078,S1_C1_5m_C,221006_Smp_S1_C1_5m_C,NA
RC078,S1_C1_DCM_A,221006_Smp_S1_C1_DCM_A,NA
RC078,S1_C1_DCM_B,221006_Smp_S1_C1_DCM_B,NA
RC078,S1_C1_DCM_C,221006_Smp_S1_C1_DCM_C,NA
RC078,S2_C1_SRF_A,221006_Smp_S2_C1_SRF_A,NA
RC078,S2_C1_SRF_B,221006_Smp_S2_C1_SRF_B,NA
RC078,S2_C1_SRF_C,221006_Smp_S2_C1_SRF_C,NA
RC078,S2_C2_D1_A,221006_Smp_S2_C2_D1_A,NA
RC078,S2_C2_D1_B,221006_Smp_S2_C2_D1_B,NA
RC078,S2_C2_D1_C,221006_Smp_S2_C2_D1_C,NA
RC078,S2_C2_D2_A,221006_Smp_S2_C2_D2_A,NA
RC078,S2_C2_D2_B,221006_Smp_S2_C2_D2_B,NA
RC078,S2_C2_D2_C,221006_Smp_S2_C2_D2_C,NA
RC078,S2_C3_D3_A,221006_Smp_S2_C3_D3_A,NA
RC078,S2_C3_D3_B,221006_Smp_S2_C3_D3_B,NA
RC078,S2_C3_D3_C,221006_Smp_S2_C3_D3_C,NA
RC078,S2_C3_D4_A,221006_Smp_S2_C3_D4_A,NA
RC078,S2_C3_D4_B,221006_Smp_S2_C3_D4_B,NA
RC078,S2_C3_D4_C,221006_Smp_S2_C3_D4_C,NA
RC078,S2_C4_D5_A,221006_Smp_S2_C4_D5_A,240415_Smp_S2_C4_D5_A
RC078,S2_C4_D5_B,221006_Smp_S2_C4_D5_B,240415_Smp_S2_C4_D5_B
RC078,S2_C4_D5_C,221006_Smp_S2_C4_D5_C,240415_Smp_S2_C4_D5_C
RC078,S2_C4_D6_A,221006_Smp_S2_C4_D6_A,240415_Smp_S2_C4_D6_A
RC078,S2_C4_D6_B,221006_Smp_S2_C4_D6_B,240415_Smp_S2_C4_D6_B
