Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Dimethylsulfoniopropionate,No,0.4210598319502364,0.01892403739102186,0.09462018695510928,NA,0.01892403739102186,0.00901665350592935,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Ectoine,Yes,0.02126175999180241,9.555847187326924e-4,0.00573350831239615,0.00191116943746538,NA,2.563711238795098e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Gonyol,Yes,6.6600808579809785,0.29932947676319005,2.0953063373423304,NA,0.29932947676319005,0.02072157446903483,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Hydroxyisoleucine,Yes,5.7409870251322275,0.2580218887699877,1.5481313326199264,0.2580218887699877,NA,0.01017960273709312,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Asparagine,Yes,1.3909754549958522,0.06251575078633044,0.25006300314532176,0.12503150157266088,NA,0.00327451462912771,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Aspartic acid,Yes,7.273245601479128,0.32688744276310683,1.307549771052427,0.32688744276310683,NA,0.01134280128401885,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Glutamic acid,Yes,35.51433444669568,1.5961498627728394,7.980749313864197,1.5961498627728394,NA,0.04177699789924108,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Glutamine,Yes,5.5386149443756425,0.24892651435396143,1.2446325717698072,0.4978530287079229,NA,0.01128389061901733,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Lysine,Yes,1.230811506181574,0.0553173710643404,0.3319042263860424,0.1106347421286808,NA,0.00222162650422661,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Threonine,Yes,0.21818844122378564,0.00980622207747351,0.03922488830989404,0.00980622207747351,NA,0.00190415230444924,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,L-Tyrosine,Yes,0.5383248519553483,0.02419437536877969,0.21774937831901725,0.02419437536877969,NA,0.00235163705876306,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Proline betaine,Yes,0.14700104277838985,0.00660678843947819,0.04624751907634737,0.00660678843947819,NA,3.5545934281841355e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Sarcosine,Yes,0.04765735989614595,0.00214190381555712,0.00642571144667136,0.00214190381555712,NA,1.5664731733434147e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
