Rep,Compound,detected
170706_Smp_S6E37D15_A,Arsenobetaine,Yes
170706_Smp_S6E37D15_B,Arsenobetaine,Yes
170706_Smp_S6E37D15_C,Arsenobetaine,Yes
170706_Smp_S6E37D15_Ds,Arsenobetaine,Yes
170706_Smp_S3E15D15_A,Gonyol,Yes
170706_Smp_S3E15D15_B,Gonyol,Yes
170706_Smp_S3E15D15_C,Gonyol,Yes
170706_Smp_S3E15E15_Ds,Gonyol,Yes
170706_Smp_S4E16D15_A,Gonyol,Yes
170706_Smp_S4E16D15_B,Gonyol,Yes
170706_Smp_S4E16D15_C,Gonyol,Yes
170706_Smp_S4E16D15_Ds,Gonyol,Yes
170706_Smp_S5E28D15_A,Gonyol,Yes
170706_Smp_S5E28D15_B,Gonyol,Yes
170706_Smp_S5E28D15_C,Gonyol,Yes
170706_Smp_S5E28D15_Ds,Gonyol,Yes
170706_Smp_S6E37D15_A,Gonyol,Yes
170706_Smp_S6E37D15_B,Gonyol,Yes
170706_Smp_S6E37D15_C,Gonyol,Yes
170706_Smp_S6E37D15_Ds,Gonyol,Yes
170706_Smp_S3E15D15_A,L-Tyrosine,Yes
170706_Smp_S3E15D15_B,L-Tyrosine,Yes
170706_Smp_S3E15D15_C,L-Tyrosine,Yes
170706_Smp_S3E15E15_Ds,L-Tyrosine,Yes
170706_Smp_S4E16D15_A,L-Tyrosine,Yes
170706_Smp_S4E16D15_B,L-Tyrosine,Yes
170706_Smp_S4E16D15_C,L-Tyrosine,Yes
170706_Smp_S4E16D15_Ds,L-Tyrosine,Yes
170706_Smp_S5E28D15_A,L-Tyrosine,Yes
170706_Smp_S5E28D15_B,L-Tyrosine,Yes
170706_Smp_S5E28D15_C,L-Tyrosine,Yes
170706_Smp_S5E28D15_Ds,L-Tyrosine,Yes
170706_Smp_S6E37D15_A,L-Tyrosine,Yes
170706_Smp_S6E37D15_B,L-Tyrosine,Yes
170706_Smp_S6E37D15_C,L-Tyrosine,Yes
170706_Smp_S6E37D15_Ds,L-Tyrosine,Yes
170706_Smp_S3E15D15_A,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S3E15D15_B,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S3E15D15_C,2-O-alpha-D-Glucosylglycerol,No
170706_Smp_S3E15E15_Ds,2-O-alpha-D-Glucosylglycerol,No
170706_Smp_S4E16D15_A,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S4E16D15_B,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S4E16D15_C,2-O-alpha-D-Glucosylglycerol,No
170706_Smp_S4E16D15_Ds,2-O-alpha-D-Glucosylglycerol,No
170706_Smp_S5E28D15_A,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S5E28D15_B,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S5E28D15_C,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S5E28D15_Ds,2-O-alpha-D-Glucosylglycerol,No
170706_Smp_S6E37D15_A,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S6E37D15_B,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S6E37D15_C,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S6E37D15_Ds,2-O-alpha-D-Glucosylglycerol,Yes
170706_Smp_S3E15D15_A,Threonine Betaine (tentative),Yes
170706_Smp_S3E15D15_B,Threonine Betaine (tentative),Yes
170706_Smp_S3E15D15_C,Threonine Betaine (tentative),Yes
170706_Smp_S3E15E15_Ds,Threonine Betaine (tentative),Yes
170706_Smp_S4E16D15_A,Threonine Betaine (tentative),Yes
170706_Smp_S4E16D15_B,Threonine Betaine (tentative),Yes
170706_Smp_S4E16D15_C,Threonine Betaine (tentative),Yes
170706_Smp_S4E16D15_Ds,Threonine Betaine (tentative),Yes
170706_Smp_S5E28D15_A,Threonine Betaine (tentative),No
170706_Smp_S5E28D15_B,Threonine Betaine (tentative),No
170706_Smp_S5E28D15_C,Threonine Betaine (tentative),No
170706_Smp_S5E28D15_Ds,Threonine Betaine (tentative),No
170706_Smp_S6E37D15_A,Threonine Betaine (tentative),Yes
170706_Smp_S6E37D15_B,Threonine Betaine (tentative),Yes
170706_Smp_S6E37D15_C,Threonine Betaine (tentative),Yes
170706_Smp_S6E37D15_Ds,Threonine Betaine (tentative),Yes
170706_Smp_S3E15D15_A,Homoserine Betaine (tentative),Yes
170706_Smp_S3E15D15_B,Homoserine Betaine (tentative),Yes
170706_Smp_S3E15D15_C,Homoserine Betaine (tentative),Yes
170706_Smp_S3E15E15_Ds,Homoserine Betaine (tentative),Yes
170706_Smp_S4E16D15_A,Homoserine Betaine (tentative),Yes
170706_Smp_S4E16D15_B,Homoserine Betaine (tentative),Yes
170706_Smp_S4E16D15_C,Homoserine Betaine (tentative),Yes
170706_Smp_S4E16D15_Ds,Homoserine Betaine (tentative),Yes
170706_Smp_S5E28D15_A,Homoserine Betaine (tentative),Yes
170706_Smp_S5E28D15_B,Homoserine Betaine (tentative),Yes
170706_Smp_S5E28D15_C,Homoserine Betaine (tentative),Yes
170706_Smp_S5E28D15_Ds,Homoserine Betaine (tentative),Yes
170706_Smp_S6E37D15_A,Homoserine Betaine (tentative),Yes
170706_Smp_S6E37D15_B,Homoserine Betaine (tentative),Yes
170706_Smp_S6E37D15_C,Homoserine Betaine (tentative),Yes
170706_Smp_S6E37D15_Ds,Homoserine Betaine (tentative),Yes
170706_Smp_S3E15D15_A,Taurine,Yes
170706_Smp_S3E15D15_B,Taurine,Yes
170706_Smp_S3E15D15_C,Taurine,Yes
170706_Smp_S3E15E15_Ds,Taurine,Yes
170706_Smp_S4E16D15_A,Taurine,Yes
170706_Smp_S4E16D15_B,Taurine,Yes
170706_Smp_S4E16D15_C,Taurine,Yes
170706_Smp_S4E16D15_Ds,Taurine,Yes
170706_Smp_S5E28D15_A,Taurine,Yes
170706_Smp_S5E28D15_B,Taurine,Yes
170706_Smp_S5E28D15_C,Taurine,Yes
170706_Smp_S5E28D15_Ds,Taurine,Yes
170706_Smp_S6E37D15_A,Taurine,Yes
170706_Smp_S6E37D15_B,Taurine,Yes
170706_Smp_S6E37D15_C,Taurine,Yes
170706_Smp_S6E37D15_Ds,Taurine,Yes
170706_Smp_S3E15D15_A,Isethionic acid,Yes
170706_Smp_S3E15D15_B,Isethionic acid,Yes
170706_Smp_S3E15D15_C,Isethionic acid,Yes
170706_Smp_S3E15E15_Ds,Isethionic acid,Yes
170706_Smp_S4E16D15_A,Isethionic acid,Yes
170706_Smp_S4E16D15_B,Isethionic acid,Yes
170706_Smp_S4E16D15_C,Isethionic acid,Yes
170706_Smp_S4E16D15_Ds,Isethionic acid,Yes
170706_Smp_S5E28D15_A,Isethionic acid,Yes
170706_Smp_S5E28D15_B,Isethionic acid,Yes
170706_Smp_S5E28D15_C,Isethionic acid,Yes
170706_Smp_S5E28D15_Ds,Isethionic acid,Yes
170706_Smp_S6E37D15_A,Isethionic acid,Yes
170706_Smp_S6E37D15_B,Isethionic acid,Yes
170706_Smp_S6E37D15_C,Isethionic acid,Yes
170706_Smp_S6E37D15_Ds,Isethionic acid,Yes
170706_Smp_S3E15D15_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S3E15D15_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S3E15D15_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S3E15E15_Ds,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S4E16D15_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S4E16D15_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S4E16D15_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S4E16D15_Ds,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S5E28D15_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S5E28D15_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S5E28D15_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S5E28D15_Ds,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S6E37D15_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S6E37D15_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S6E37D15_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S6E37D15_Ds,"(R)-2,3-Dihydroxypropane-1-sulfonate",Yes
170706_Smp_S3E15D15_A,L-Cysteic acid,No
170706_Smp_S3E15D15_B,L-Cysteic acid,No
170706_Smp_S3E15D15_C,L-Cysteic acid,No
170706_Smp_S3E15E15_Ds,L-Cysteic acid,Yes
170706_Smp_S4E16D15_A,L-Cysteic acid,No
170706_Smp_S4E16D15_B,L-Cysteic acid,Yes
170706_Smp_S4E16D15_C,L-Cysteic acid,No
170706_Smp_S4E16D15_Ds,L-Cysteic acid,No
170706_Smp_S5E28D15_A,L-Cysteic acid,No
170706_Smp_S5E28D15_B,L-Cysteic acid,No
170706_Smp_S5E28D15_C,L-Cysteic acid,No
170706_Smp_S5E28D15_Ds,L-Cysteic acid,No
170706_Smp_S6E37D15_A,L-Cysteic acid,No
170706_Smp_S6E37D15_B,L-Cysteic acid,No
170706_Smp_S6E37D15_C,L-Cysteic acid,Yes
170706_Smp_S6E37D15_Ds,L-Cysteic acid,No
170706_Smp_S3E15D15_A,Sucrose,Yes
170706_Smp_S3E15D15_B,Sucrose,Yes
170706_Smp_S3E15D15_C,Sucrose,Yes
170706_Smp_S3E15E15_Ds,Sucrose,Yes
170706_Smp_S4E16D15_A,Sucrose,Yes
170706_Smp_S4E16D15_B,Sucrose,Yes
170706_Smp_S4E16D15_C,Sucrose,Yes
170706_Smp_S4E16D15_Ds,Sucrose,Yes
170706_Smp_S5E28D15_A,Sucrose,Yes
170706_Smp_S5E28D15_B,Sucrose,Yes
170706_Smp_S5E28D15_C,Sucrose,Yes
170706_Smp_S5E28D15_Ds,Sucrose,Yes
170706_Smp_S6E37D15_A,Sucrose,No
170706_Smp_S6E37D15_B,Sucrose,No
170706_Smp_S6E37D15_C,Sucrose,Yes
170706_Smp_S6E37D15_Ds,Sucrose,No
170706_Smp_S3E15D15_A,Trehalose,Yes
170706_Smp_S3E15D15_B,Trehalose,Yes
170706_Smp_S3E15D15_C,Trehalose,Yes
170706_Smp_S3E15E15_Ds,Trehalose,Yes
170706_Smp_S4E16D15_A,Trehalose,Yes
170706_Smp_S4E16D15_B,Trehalose,Yes
170706_Smp_S4E16D15_C,Trehalose,Yes
170706_Smp_S4E16D15_Ds,Trehalose,Yes
170706_Smp_S5E28D15_A,Trehalose,Yes
170706_Smp_S5E28D15_B,Trehalose,Yes
170706_Smp_S5E28D15_C,Trehalose,Yes
170706_Smp_S5E28D15_Ds,Trehalose,No
170706_Smp_S6E37D15_A,Trehalose,Yes
170706_Smp_S6E37D15_B,Trehalose,Yes
170706_Smp_S6E37D15_C,Trehalose,Yes
170706_Smp_S6E37D15_Ds,Trehalose,Yes
