Region,compound.name.figure,mean.relabun
PEDP,Gonyol,-0.5761088988537038
PEDP,Homarine,-0.937545590168462
PEDP,Hydroxyectoine,-3.857729186068676
PEDP,Hydroxyisoleucine,-0.16354258116994125
PEDP,Isethionic acid,-0.329425941999728
PEDP,Proline,-0.9844225206136374
PEDP,Proline betaine,-2.279254288587871
PEDP,Sarcosine,-2.2219934674749298
PEDP,Sucrose,-0.7939670273242153
PEDP,TMAB,-1.7851845414183707
PEDP,TMAO,-1.4600463532344925
PEDP,Taurine,-0.5543954515186879
PEDP,Threonine,-1.408657062562751
PEDP,Trehalose,-1.8874104643157734
PEDP,Trigonelline,-2.009512439632634
PEDP,beta-Alanine,-1.6162285911023426
PEDP,beta-Alanine betaine,-0.7136254692083137
PEDP,beta-Glutamic acid,-1.6377583594818905
SS,(Iso)leucine,-0.5359981956702276
SS,Alanine,-0.6312450611282798
SS,Arsenobetaine,-3.863268847175293
SS,Asparagine,-1.41701743761802
SS,Aspartic acid,-0.6624968433564868
SS,Betonicine,-2.5545037298414184
SS,Carnitine,-2.154912812511489
SS,DHPS,-0.7801805549297401
SS,DMSA,-1.7404502019571977
SS,DMSP,-1.6227125100218223
SS,Ectoine,-1.1217848754864022
SS,GBT,-0.6037402438817111
SS,GG,-0.33013894416237066
SS,Glutamic acid,-0.13689417982555852
SS,Glutamine,-1.597255809915879
SS,Gonyol,-0.6249658476267534
SS,Homarine,-1.321168515287627
SS,Hydroxyectoine,-3.1848755164382623
SS,Hydroxyisoleucine,-0.9245861421819651
SS,Isethionic acid,-0.18660268980353936
SS,Proline,-0.998492194540209
SS,Proline betaine,-2.339868610512081
SS,Sarcosine,-2.0928046312438444
SS,Sucrose,-1.543738525109575
SS,TMAB,-1.3900351763095806
SS,TMAO,-1.5789579032545102
SS,Taurine,-0.8420749889656357
SS,Threonine,-1.3091331265249433
SS,Trehalose,-2.062810958589273
SS,Trigonelline,-1.905537510319689
SS,beta-Alanine,-1.6388133784318717
SS,beta-Alanine betaine,-0.8065811559549396
SS,beta-Glutamic acid,-1.3752003719868229
