SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,station,Treatment
220628_Smp_MU25_A,KM1906,30.45,-158,4/27/19,09:00:00,7,NA,NA
220628_Smp_MU25_B,KM1906,30.45,-158,4/27/19,09:00:00,7,NA,NA
221006_Smp_S1_C1_5m_A,RC078,47.98430463414634,-122.61821548780487,6/3/22,16:00:00,1,1,NA
221006_Smp_S1_C1_5m_B,RC078,47.98430463414634,-122.61821548780487,6/3/22,16:00:00,1,1,NA
221006_Smp_S1_C1_5m_C,RC078,47.98430463414634,-122.61821548780487,6/3/22,16:00:00,1,1,NA
221006_Smp_S1_C1_DCM_A,RC078,47.98430463414634,-122.61821548780487,6/3/22,15:25:00,4,1,NA
221006_Smp_S1_C1_DCM_B,RC078,47.98430463414634,-122.61821548780487,6/3/22,15:25:00,4,1,NA
221006_Smp_S1_C1_DCM_C,RC078,47.98430463414634,-122.61821548780487,6/3/22,15:25:00,4,1,NA
221006_Smp_S2_C1_SRF_A,RC078,48.25049676866018,-122.99715497913769,6/3/22,19:30:00,3,2,NA
221006_Smp_S2_C1_SRF_B,RC078,48.25049676866018,-122.99715497913769,6/3/22,19:30:00,3,2,NA
221006_Smp_S2_C1_SRF_C,RC078,48.25049676866018,-122.99715497913769,6/3/22,19:30:00,3,2,NA
221006_Smp_S2_C2_D1_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,135,2,NA
221006_Smp_S2_C2_D1_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,135,2,NA
221006_Smp_S2_C2_D1_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,135,2,NA
221006_Smp_S2_C2_D2_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,65,2,NA
221006_Smp_S2_C2_D2_B,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,65,2,NA
221006_Smp_S2_C2_D2_C,RC078,48.25049676866018,-122.99715497913769,6/4/22,06:30:00,65,2,NA
221006_Smp_S2_C3_D3_A,RC078,48.25049676866018,-122.99715497913769,6/4/22,08:30:00,45,2,NA
