parent_id,sample_id,Local_Date,Local_Time
S6_C2_D3,S6_C2_D3_C,6/7/22,19:00
S6_C2_D4,S6_C2_D4_A,6/7/22,19:00
S6_C2_D4,S6_C2_D4_B,6/7/22,19:00
S6_C2_D4,S6_C2_D4_C,6/7/22,19:00
S7_C1_D1,S7_C1_D1_A,6/8/22,8:20
S7_C1_D1,S7_C1_D1_B,6/8/22,8:20
S7_C1_D1,S7_C1_D1_C,6/8/22,8:20
S7_C1_D2,S7_C1_D2_A,6/8/22,8:20
S7_C1_D2,S7_C1_D2_B,6/8/22,8:20
S7_C1_D2,S7_C1_D2_C,6/8/22,8:20
S7_C2_D3,S7_C2_D3_A,6/8/22,8:20
S7_C2_D3,S7_C2_D3_B,6/8/22,8:20
S7_C2_D3,S7_C2_D3_C,6/8/22,8:20
S7_C2_D4,S7_C2_D4_A,6/8/22,8:20
S7_C2_D4,S7_C2_D4_B,6/8/22,8:20
S7_C2_D4,S7_C2_D4_C,6/8/22,8:20
S7_C3_D5,S7_C3_D5_A,6/8/22,8:20
S7_C3_D5,S7_C3_D5_B,6/8/22,8:20
S7_C3_D5,S7_C3_D5_C,6/8/22,8:20
S7_C3_D6,S7_C3_D6_A,6/8/22,8:20
S7_C3_D6,S7_C3_D6_B,6/8/22,8:20
S7_C3_D6,S7_C3_D6_C,6/8/22,8:20
S7_C1_D1,S7_C1_D1_Blk,6/8/22,19:30
S7_C2_D3,S7_C2_D3_Blk,6/8/22,19:30
S7_C3_D5,S7_C3_D5_Blk,6/8/22,19:30
S8_C1_D1,S8_C1_D1_A_4L,6/9/22,19:30
S8_C1_D2,S8_C1_D2_A,6/10/22,19:30
S8_C1_D1,S8_C1_D1_A_2L,6/11/22,20:00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
