Part.SampID,Diss.SampID,Cruise,Region,Lat,Long,depth_m,station,Treatment,sst,sss,poc,pn
220902_Smp_TN397_S6_U_B,220602_Smp_TN397_S6_U_B,TN397,NPSG,13.9487,-140.0016,7,NA,NA,26.400018888888887,33.73397627777778,1.9529965391719737,0.3377078633663451
220902_Smp_TN397_S6_U_C,220602_Smp_TN397_S6_U_C,TN397,NPSG,13.9487,-140.0016,7,NA,NA,26.400018888888887,33.73397627777778,1.9529965391719737,0.3377078633663451
220902_Smp_TN397_S7_600_U_A,220602_Smp_TN397_S7_600_U_A,TN397,NPSG,10.6974,-139.998,7,NA,NA,26.821903666666667,33.76159797222222,1.588925761072024,0.27782241381501543
220902_Smp_TN397_S7_600_U_B,220602_Smp_TN397_S7_600_U_B,TN397,NPSG,10.6974,-139.998,7,NA,NA,26.821903666666667,33.76159797222222,1.588925761072024,0.27782241381501543
220902_Smp_TN397_S7_600_U_C,220602_Smp_TN397_S7_600_U_C,TN397,NPSG,10.6974,-139.998,7,NA,NA,26.821903666666667,33.76159797222222,1.588925761072024,0.27782241381501543
220902_Smp_TN397_S7_1800_U_A,220602_Smp_TN397_S7_1800_U_A,TN397,NPSG,10.6979,-139.9975,7,NA,NA,26.772698922902496,33.76646680839002,1.6686226368471315,0.2767138707200431
220902_Smp_TN397_S7_1800_U_B,220602_Smp_TN397_S7_1800_U_B,TN397,NPSG,10.6979,-139.9975,7,NA,NA,26.772698922902496,33.76646680839002,1.6686226368471315,0.2767138707200431
220902_Smp_TN397_S7_1800_U_C,220602_Smp_TN397_S7_1800_U_C,TN397,NPSG,10.6979,-139.9975,7,NA,NA,26.772698922902496,33.76646680839002,1.6686226368471315,0.2767138707200431
220902_Smp_TN397_S8_U_A,220602_Smp_TN397_S8_U_A,TN397,NPSG,8.388,-139.9961,7,NA,NA,28.12784205555555,34.06097255555556,1.6278611788970505,0.285686531557829
220902_Smp_TN397_S8_U_B,220602_Smp_TN397_S8_U_B,TN397,NPSG,8.388,-139.9961,7,NA,NA,28.12784205555555,34.06097255555556,1.6278611788970505,0.285686531557829
220902_Smp_TN397_S8_U_C,220602_Smp_TN397_S8_U_C,TN397,NPSG,8.388,-139.9961,7,NA,NA,28.12784205555555,34.06097255555556,1.6278611788970505,0.285686531557829
220902_Smp_TN397_S9_600_U_A,220602_Smp_TN397_S9_600_U_A,TN397,Equator,4.7508,-140.0005,7,NA,NA,25.807385002782414,34.57656964385086,3.0482856253865793,0.4829662858752533
220902_Smp_TN397_S9_600_U_B,220602_Smp_TN397_S9_600_U_B,TN397,Equator,4.7508,-140.0005,7,NA,NA,25.807385002782414,34.57656964385086,3.0482856253865793,0.4829662858752533
220902_Smp_TN397_S9_600_U_C,220602_Smp_TN397_S9_600_U_C,TN397,Equator,4.7508,-140.0005,7,NA,NA,25.807385002782414,34.57656964385086,3.0482856253865793,0.4829662858752533
220902_Smp_TN397_S9_1800_U_A,220602_Smp_TN397_S9_1800_U_A,TN397,Equator,4.7695,-139.9879,7,NA,NA,25.92879725,34.56496627777778,2.905474320641096,0.4796950306247272
220902_Smp_TN397_S9_1800_U_B,220602_Smp_TN397_S9_1800_U_B,TN397,Equator,4.7695,-139.9879,7,NA,NA,25.92879725,34.56496627777778,2.905474320641096,0.4796950306247272
220902_Smp_TN397_S9_1800_U_C,220602_Smp_TN397_S9_1800_U_C,TN397,Equator,4.7695,-139.9879,7,NA,NA,25.92879725,34.56496627777778,2.905474320641096,0.4796950306247272
220902_Smp_TN397_S9_BB_A,NA,TN397,Equator,4.7508,-140.0005,7,NA,NA,25.756797083333332,34.57327238888889,3.0280932925316377,0.48092301488042566
220902_Smp_TN397_S9_BB_B,NA,TN397,Equator,4.7508,-140.0005,7,NA,NA,25.756797083333332,34.57327238888889,3.0280932925316377,0.48092301488042566
220902_Smp_TN397_S10_U_A,220602_Smp_TN397_S10_U_A,TN397,Equator,1.1248,-140.0051,7,NA,NA,26.264790194444444,34.77069458333333,1.9535097735377,0.384945762733568
220902_Smp_TN397_S10_U_B,220602_Smp_TN397_S10_U_B,TN397,Equator,1.1248,-140.0051,7,NA,NA,26.264790194444444,34.77069458333333,1.9535097735377,0.384945762733568
220902_Smp_TN397_S10_U_C,220602_Smp_TN397_S10_U_C,TN397,Equator,1.1248,-140.0051,7,NA,NA,26.264790194444444,34.77069458333333,1.9535097735377,0.384945762733568
220902_Smp_TN397_S11_600_U_A,220602_Smp_TN397_S11_600_U_A,TN397,Equator,0.1459,-139.9081,7,NA,NA,24.755184581626683,34.774688531304854,2.923696597740548,0.5169324508729173
220902_Smp_TN397_S11_600_U_B,220602_Smp_TN397_S11_600_U_B,TN397,Equator,0.1459,-139.9081,7,NA,NA,24.755184581626683,34.774688531304854,2.923696597740548,0.5169324508729173
220902_Smp_TN397_S11_1800_U_A,220602_Smp_TN397_S11_1800_U_A,TN397,Equator,0.299,-139.8577,7,NA,NA,25.003163333333333,34.81470627777778,2.7207833044735694,0.49045252128944566
220902_Smp_TN397_S11_1800_U_B,220602_Smp_TN397_S11_1800_U_B,TN397,Equator,0.299,-139.8577,7,NA,NA,25.003163333333333,34.81470627777778,2.7207833044735694,0.49045252128944566
220902_Smp_TN397_S11_1800_U_C,220602_Smp_TN397_S11_1800_U_C,TN397,Equator,0.299,-139.8577,7,NA,NA,25.003163333333333,34.81470627777778,2.7207833044735694,0.49045252128944566
220902_Smp_TN397_S12_600_U_A,220602_Smp_TN397_S12_600_U_A,TN397,Equator,-2.249,-140.26,7,NA,NA,26.15042429245283,35.25249537146227,2.111518664093961,0.3744503527031115
220902_Smp_TN397_S12_600_U_B,220602_Smp_TN397_S12_600_U_B,TN397,Equator,-2.249,-140.26,7,NA,NA,26.15042429245283,35.25249537146227,2.111518664093961,0.3744503527031115
220902_Smp_TN397_S12_600_U_C,220602_Smp_TN397_S12_600_U_C,TN397,Equator,-2.249,-140.26,7,NA,NA,26.15042429245283,35.25249537146227,2.111518664093961,0.3744503527031115
220902_Smp_TN397_S12_800_U_A,220602_Smp_TN397_S12_800_U_A,TN397,Equator,-2.489,-140.01,7,NA,NA,26.065919555555556,35.24984675,2.371929247984999,0.41744996746881496
220902_Smp_TN397_S12_800_U_B,220602_Smp_TN397_S12_800_U_B,TN397,Equator,-2.489,-140.01,7,NA,NA,26.065919555555556,35.24984675,2.371929247984999,0.41744996746881496
220902_Smp_TN397_S12_800_U_C,220602_Smp_TN397_S12_800_U_C,TN397,Equator,-2.489,-140.01,7,NA,NA,26.065919555555556,35.24984675,2.371929247984999,0.41744996746881496
220902_Smp_TN397_S12_1800_U_A,220602_Smp_TN397_S12_1800_U_A,TN397,Equator,-2.489,-140.01,7,NA,NA,26.137491963292547,35.25370050055617,2.2705448224059785,0.40116445231572656
220902_Smp_TN397_S12_1800_U_B,220602_Smp_TN397_S12_1800_U_B,TN397,Equator,-2.489,-140.01,7,NA,NA,26.137491963292547,35.25370050055617,2.2705448224059785,0.40116445231572656
220902_Smp_TN397_S12_1800_U_C,220602_Smp_TN397_S12_1800_U_C,TN397,Equator,-2.489,-140.01,7,NA,NA,26.137491963292547,35.25370050055617,2.2705448224059785,0.40116445231572656
220902_Smp_TN397_S13_1800_U_A,220602_Smp_TN397_S13_1800_U_A,TN397,Equator,0.01,-141.8458,7,NA,NA,25.035129527777777,34.95385486111111,3.3285530624169795,0.5696635606987163
220902_Smp_TN397_S13_1800_U_B,220602_Smp_TN397_S13_1800_U_B,TN397,Equator,0.01,-141.8458,7,NA,NA,25.035129527777777,34.95385486111111,3.3285530624169795,0.5696635606987163
220902_Smp_TN397_S13_1800_U_C,220602_Smp_TN397_S13_1800_U_C,TN397,Equator,0.01,-141.8458,7,NA,NA,25.035129527777777,34.95385486111111,3.3285530624169795,0.5696635606987163
220902_Smp_TN397_S14_U_A,220602_Smp_TN397_S14_U_A,TN397,Equator,3.5272,-144.4492,7,NA,NA,26.716792333333338,34.6513865,2.4298774748917067,0.41760439779934744
220902_Smp_TN397_S14_U_B,220602_Smp_TN397_S14_U_B,TN397,Equator,3.5272,-144.4492,7,NA,NA,26.716792333333338,34.6513865,2.4298774748917067,0.41760439779934744
220902_Smp_TN397_S14_U_C,220602_Smp_TN397_S14_U_C,TN397,Equator,3.5272,-144.4492,7,NA,NA,26.716792333333338,34.6513865,2.4298774748917067,0.41760439779934744
220902_Smp_TN397_S15_U_A,220602_Smp_TN397_S15_U_A,TN397,Equator,6.4995,-146.652,7,NA,NA,27.24140468703649,34.83133417383566,2.074776721232379,0.35489120967905435
220902_Smp_TN397_S15_U_B,220602_Smp_TN397_S15_U_B,TN397,Equator,6.4995,-146.652,7,NA,NA,27.24140468703649,34.83133417383566,2.074776721232379,0.35489120967905435
220902_Smp_TN397_S15_U_C,220602_Smp_TN397_S15_U_C,TN397,Equator,6.4995,-146.652,7,NA,NA,27.24140468703649,34.83133417383566,2.074776721232379,0.35489120967905435
220902_Smp_TN397_S16_U_A,220602_Smp_TN397_S16_U_A,TN397,NPSG,9.2497,-148.6967,7,NA,NA,27.689131888888888,34.14297630555556,1.394714452043308,0.23353176740563533
220902_Smp_TN397_S16_U_B,220602_Smp_TN397_S16_U_B,TN397,NPSG,9.2497,-148.6967,7,NA,NA,27.689131888888888,34.14297630555556,1.394714452043308,0.23353176740563533
220902_Smp_TN397_S16_U_C,220602_Smp_TN397_S16_U_C,TN397,NPSG,9.2497,-148.6967,7,NA,NA,27.689131888888888,34.14297630555556,1.394714452043308,0.23353176740563533
220902_Smp_TN397_S17_U_A,220602_Smp_TN397_S17_U_A,TN397,NPSG,11.92,-150.6948,7,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S17_U_B,220602_Smp_TN397_S17_U_B,TN397,NPSG,11.92,-150.6948,7,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S17_U_C,220602_Smp_TN397_S17_U_C,TN397,NPSG,11.92,-150.6948,7,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_A,NA,TN397,NPSG,14.772,-152.8644,7,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_B,NA,TN397,NPSG,14.772,-152.8644,7,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S18_U_C,NA,TN397,NPSG,14.772,-152.8644,7,NA,NA,NA,NA,NA,NA
